0.414598676	HELENA
0.218643005	LEON
0.599338472	JOEL
0.227753083	ADA
0.514933972	ALICE
0.560932542	ARTHUR
0.065437774	SHERYL
0.565333106	JAKE
0.888657241	WESKER
0.258788541	JOHN
0.213076534	JAVIER
0.905326995	ABIGAIL
0.456872185	PATATA
0.486541846	PRICE
0.024148452	SIMON
0.189645321	JOHNNY
0.568213854	VALERIA
0.489453132	KYLE
0.486584553	KATE
0.418674821	ALEJANDRO
0.186786212	MAKAROV
0.786512347	RUDY
0.695421354	MORGAN
0.878547121	JILL
0.560932542	ROMA
0.065437774	JOEL
0.565333106	WILL
0.888657241	ELLIE
0.258788541	MIA
0.213076534	ETHAN
0.905326995	DANA
0.456872185	ELIZABETH
0.486541846	JOHN
0.024148452	ARNOLD
0.189645321	DINA
0.568213854	SULLY
